2025-06-24 17:52:52, 電壓: 0.64V, pH: 2.23, ORP: 1368mV
2025-06-24 17:52:53, 電壓: 0.60V, pH: 2.10, ORP: 1400mV
2025-06-24 17:52:54, 電壓: 0.61V, pH: 2.14, ORP: 1395mV
2025-06-24 17:52:55, 電壓: 0.61V, pH: 2.13, ORP: 1400mV
2025-06-24 17:52:55, 電壓: 0.60V, pH: 2.11, ORP: 1406mV
2025-06-24 17:52:56, 電壓: 0.61V, pH: 2.13, ORP: 1398mV
2025-06-24 17:52:57, 電壓: 0.61V, pH: 2.13, ORP: 1400mV
2025-06-24 17:52:58, 電壓: 0.59V, pH: 2.08, ORP: 1413mV
2025-06-24 17:52:59, 電壓: 0.59V, pH: 2.08, ORP: 1409mV
2025-06-24 17:52:59, 電壓: 0.60V, pH: 2.11, ORP: 1401mV
2025-06-24 17:53:00, 電壓: 0.63V, pH: 2.19, ORP: 1378mV
2025-06-24 17:53:01, 電壓: 0.62V, pH: 2.17, ORP: 1384mV
2025-06-24 17:53:02, 電壓: 0.62V, pH: 2.18, ORP: 1384mV
2025-06-24 17:53:03, 電壓: 0.61V, pH: 2.15, ORP: 1394mV
2025-06-24 17:53:03, 電壓: 0.60V, pH: 2.09, ORP: 1408mV
2025-06-24 17:53:04, 電壓: 0.57V, pH: 1.98, ORP: 1438mV
2025-06-24 17:53:05, 電壓: 0.56V, pH: 1.96, ORP: 1443mV
2025-06-24 17:53:06, 電壓: 0.60V, pH: 2.10, ORP: 1405mV
2025-06-24 17:53:07, 電壓: 0.61V, pH: 2.12, ORP: 1399mV
2025-06-24 17:53:07, 電壓: 0.63V, pH: 2.20, ORP: 1379mV
2025-06-24 17:53:08, 電壓: 0.61V, pH: 2.15, ORP: 1392mV
2025-06-24 17:53:09, 電壓: 0.62V, pH: 2.15, ORP: 1395mV
2025-06-24 17:53:10, 電壓: 0.62V, pH: 2.16, ORP: 1386mV
2025-06-24 17:53:11, 電壓: 0.60V, pH: 2.11, ORP: 1402mV
2025-06-24 17:53:11, 電壓: 0.60V, pH: 2.09, ORP: 1408mV
2025-06-24 17:53:12, 電壓: 0.60V, pH: 2.10, ORP: 1408mV
2025-06-24 17:53:13, 電壓: 0.59V, pH: 2.08, ORP: 1413mV
2025-06-24 17:53:14, 電壓: 0.60V, pH: 2.12, ORP: 1402mV
2025-06-24 17:53:15, 電壓: 0.62V, pH: 2.17, ORP: 1387mV
2025-06-24 17:53:15, 電壓: 0.61V, pH: 2.12, ORP: 1398mV
2025-06-24 17:53:16, 電壓: 0.62V, pH: 2.17, ORP: 1387mV
2025-06-24 17:53:17, 電壓: 0.62V, pH: 2.18, ORP: 1385mV
2025-06-24 17:53:18, 電壓: 0.62V, pH: 2.17, ORP: 1385mV
2025-06-24 17:53:19, 電壓: 0.62V, pH: 2.17, ORP: 1385mV
2025-06-24 17:53:19, 電壓: 0.63V, pH: 2.19, ORP: 1380mV
2025-06-24 17:53:20, 電壓: 0.61V, pH: 2.14, ORP: 1394mV
2025-06-24 17:53:21, 電壓: 0.63V, pH: 2.19, ORP: 1382mV
2025-06-24 17:53:22, 電壓: 0.63V, pH: 2.19, ORP: 1379mV
2025-06-24 17:53:23, 電壓: 0.63V, pH: 2.19, ORP: 1379mV
2025-06-24 17:53:23, 電壓: 0.60V, pH: 2.12, ORP: 1402mV
2025-06-24 17:53:24, 電壓: 0.63V, pH: 2.19, ORP: 1382mV
2025-06-24 17:53:25, 電壓: 0.62V, pH: 2.18, ORP: 1381mV
2025-06-24 17:53:26, 電壓: 0.64V, pH: 2.25, ORP: 1363mV
2025-06-24 17:53:27, 電壓: 0.62V, pH: 2.17, ORP: 1385mV
2025-06-24 17:53:27, 電壓: 0.63V, pH: 2.20, ORP: 1382mV
2025-06-24 17:53:28, 電壓: 0.62V, pH: 2.17, ORP: 1386mV
2025-06-24 17:53:29, 電壓: 0.65V, pH: 2.27, ORP: 1359mV
2025-06-24 17:53:30, 電壓: 0.62V, pH: 2.18, ORP: 1383mV
2025-06-24 17:53:31, 電壓: 0.64V, pH: 2.23, ORP: 1370mV
2025-06-24 17:53:31, 電壓: 0.61V, pH: 2.12, ORP: 1401mV
2025-06-24 17:53:32, 電壓: 0.63V, pH: 2.19, ORP: 1383mV
2025-06-24 17:53:33, 電壓: 0.62V, pH: 2.18, ORP: 1385mV
2025-06-24 17:53:34, 電壓: 0.63V, pH: 2.21, ORP: 1375mV
2025-06-24 17:53:35, 電壓: 0.62V, pH: 2.16, ORP: 1385mV
2025-06-24 17:53:35, 電壓: 0.61V, pH: 2.14, ORP: 1397mV
2025-06-24 17:53:36, 電壓: 0.61V, pH: 2.14, ORP: 1398mV
2025-06-24 17:53:37, 電壓: 0.63V, pH: 2.20, ORP: 1378mV
2025-06-24 17:53:38, 電壓: 0.62V, pH: 2.17, ORP: 1386mV
2025-06-24 17:53:39, 電壓: 0.63V, pH: 2.20, ORP: 1376mV
2025-06-24 17:53:39, 電壓: 0.62V, pH: 2.16, ORP: 1387mV
2025-06-24 17:53:40, 電壓: 0.62V, pH: 2.17, ORP: 1388mV
2025-06-24 17:53:41, 電壓: 0.61V, pH: 2.13, ORP: 1399mV
2025-06-24 17:53:42, 電壓: 0.63V, pH: 2.22, ORP: 1375mV
2025-06-24 17:53:43, 電壓: 0.63V, pH: 2.21, ORP: 1376mV
2025-06-24 17:53:43, 電壓: 0.64V, pH: 2.24, ORP: 1368mV
2025-06-24 17:53:44, 電壓: 0.62V, pH: 2.16, ORP: 1388mV
2025-06-24 17:53:45, 電壓: 0.63V, pH: 2.21, ORP: 1378mV
2025-06-24 17:53:46, 電壓: 0.62V, pH: 2.18, ORP: 1383mV
